id,Name,Release_Year,user_rate
50155,Ring,1998,2.5
50725,Fear and Loathing in Las Vegas,1998,2.0
50967,I Stand Alone,1998,2.0
36471,Eternity and a Day,1998,5.0
27256,The Truman Show,1998,2.5
46001,Mulan,1998,
51977,American History X,1998,3.0
47252,The Mask of Zorro,1998,
51295,Saving Private Ryan,1998,2.0
45203,Rushmore,1998,2.0
47627,The Thin Red Line,1998,3.0
88728,Outer Space,1999,4.0
47065,Analyze This,1999,2.5
51518,The Matrix,1999,1.5
49047,10 Things I Hate About You,1999,2.5
51951,All About My Mother,1999,3.5
320448,Persian #1,1999,
49124,Ghost Dog: The Way of the Samurai,1999,3.5
45257,Rosetta,1999,3.5
26023,The Old Man and the Sea,1999,4.0
51717,Eyes Wide Shut,1999,3.5
210107,Eclipse,1999,
42942,Beau Travail,1999,4.0
21726,The Wind Will Carry Us,1999,4.0
2703,American Beauty,1999,2.0
51568,Fight Club,1999,2.0
45628,Audition,1999,3.0
47664,Bringing Out the Dead,1999,3.5
51289,Toy Story 2,1999,
51728,Magnolia,1999,3.5
51097,American Psycho,2000,1.5
51952,Gladiator,2000,1.5
51917,"O Brother, Where Art Thou?",2000,2.5
51990,Amores Perros,2000,3.5
51483,Requiem for a Dream,2000,3.0
20796,The Gleaners and I,2000,4.0
2701,Dancer in the Dark,2000,4.5
33002,A Time for Drunken Horses,2000,3.5
31586,Code Unknown,2000,3.5
51309,In the Mood for Love,2000,5.0
208361,Forza Bastia,2000,
51973,Memento,2000,2.5
44974,Sexy Beast,2000,3.5
51299,Enemy at the Gates,2001,0.5
